genre,word,weight
tv movie,trump,4.009230797341732
tv movie,quirt,3.957669058382989
tv movie,madoff,3.948118091558022
tv movie,gunther,3.7581323313858923
tv movie,kane,3.7437490912685676
tv movie,stefan,3.7239859251094147
tv movie,tracey,3.665947992515821
tv movie,mcbride,3.6175244806559324
tv movie,lisa,3.4035307097042873
documentary,film,8.247376457242627
documentary,documentary,6.2442434850556445
documentary,interviews,4.62068513964269
documentary,hatidže,4.301767277669377
documentary,footage,3.721432507542412
documentary,leroy,3.618352195854366
documentary,band,3.4932401095095225
documentary,maddin,3.4880566250101945
documentary,eilish,3.4177675389228814
documentary,pepe,3.372484980545751
