title,Action,Science Fiction,Adventure,Drama,Crime,Thriller,Comedy,Romance,Western,Fantasy,War,Mystery,Horror,Animation,History,Music,Family,Tv Movie,Documentary
The Lord of the Rings: The Return of the King,0.8468046572166812,0.243942484076563,0.884780805152388,0.2380879222787376,0.1996046335238701,0.2754800463358997,0.2130732416528942,0.2336957919985587,0.1581122212369612,0.8937793641781261,0.156365655918011,0.1652415635288655,0.2357888870939362,0.2036506644300607,0.271662701887441,0.1431792571438277,0.2618323967334542,0.0810356510676031,0.0393848452166732
Avengers: Age of Ultron,0.8350616293343176,0.9567491323053308,0.8983338324696062,0.1237895462143139,0.1596805727761426,0.2984574814635575,0.2329742398953837,0.0914047764772488,0.0944091469412662,0.4112312044040981,0.1189219557157379,0.1870639104601266,0.372105466957469,0.2011660755584678,0.139953553143011,0.1055457960719029,0.2647876171532427,0.0909826145848668,0.0517500838099841
Captain America: Civil War,0.8815167484328968,0.8779418724713315,0.8290581033976869,0.2400270546401368,0.3225640990691882,0.424457396907536,0.1607965454607883,0.0879880426647828,0.1283473900482398,0.1763130672594458,0.1675704805496433,0.2394018845781583,0.2249889031275555,0.14262132780706,0.2040913030217157,0.0842730006386608,0.2072411945338159,0.0513898899116385,0.0493874428645399
The Dark Knight Rises,0.9480281670106834,0.5702159334172623,0.5391325924940988,0.3888191728237535,0.8136674579544921,0.7009052020455255,0.2142978098708562,0.1111297233216229,0.0852554525826998,0.5713559234424016,0.1858569195553742,0.1608106488029205,0.2819450501225112,0.544123015539652,0.2359089466916458,0.0653773999886717,0.2255162855922074,0.0632932836140071,0.0347736928896408
Iron Man 3,0.8046030095040189,0.8645668164648873,0.8023994250092937,0.2230001432276727,0.2105089355297373,0.4696349436095714,0.1620776542511516,0.1255703123139246,0.2106141849931135,0.2714259318989115,0.1760691528278322,0.2801677064514178,0.3028519403268586,0.1985807611859197,0.1721069911215566,0.077526063061738,0.1872198905606857,0.0724053448059442,0.0452694413841896
Mad Max: Fury Road,0.7431638862861617,0.6887208145107022,0.7943151000199469,0.2738563714999614,0.2492520140022306,0.3547248192192429,0.3959876207986863,0.225495191761706,0.1910007072010495,0.3602358101036437,0.2099206327054348,0.1948531551913876,0.2664628838198828,0.1512037396760575,0.1090936587144946,0.1716875060147316,0.362918342131783,0.0676996765419128,0.0321474592251262
Inglourious Basterds,0.3993913145127949,0.1281039035412838,0.2536115404338196,0.6800134411213763,0.2715555414231544,0.611160154954468,0.2545011976730281,0.2159459742328031,0.1240819500694002,0.1529275524460247,0.9573083139819673,0.2517480142587941,0.2328116325312826,0.0925719597182845,0.5553912450015067,0.1786176542154963,0.0910048691863318,0.0605370576159593,0.0614036245625156
Spider-Man: Homecoming,0.8160445526487382,0.8288306689054579,0.8143264560679234,0.4400544716155397,0.247557804497654,0.3037602303823532,0.3071509396060921,0.1784722258802379,0.0753739814878313,0.2658401926730633,0.0843427888874113,0.1339641517109578,0.1801391945322509,0.2493040085518723,0.1117652920941204,0.1130237873557397,0.2948535749319328,0.0807514906400471,0.0447218924650978
Guardians of the Galaxy Vol. 2,0.7679485052126058,0.9327430970169214,0.8809200554916095,0.1947168108436764,0.2034701381218121,0.2978109609143254,0.3449087569019548,0.1545191032646307,0.0996845687378484,0.3642942465327206,0.1079831491932818,0.227323527216161,0.3006294584266907,0.3133360689767762,0.108753327542516,0.1002534645692332,0.2329153266132686,0.0763791444155162,0.0469877718618538
The Lord of the Rings: The Two Towers,0.8542606534903663,0.3497723313876141,0.8705619634406043,0.2135180551660667,0.1601374795458823,0.295170070944004,0.2107379188854458,0.1783192135303444,0.1979829550648412,0.8633318568385459,0.2111637571808001,0.1127261579512612,0.196657602364101,0.1845122055690927,0.2154255727701681,0.1303120799323282,0.2281001050290161,0.0657681011262413,0.0432228508565232
Captain America: The First Avenger,0.7885562854935722,0.907699118327264,0.8129861675516149,0.1851848344106967,0.1291412137530638,0.2837745575367598,0.220519816584664,0.1007722127004162,0.1134143570330267,0.2581633906602757,0.4218380828757083,0.2584874680653024,0.2474851813552952,0.2023047375818851,0.4082549169023157,0.1151351458268003,0.2174462634965485,0.0564322234454718,0.0615555777965684
Iron Man 2,0.754419116311537,0.8396676388976011,0.7819004574060981,0.2661575065542624,0.2447190311700016,0.3917545329239028,0.260454819190065,0.1817530479401811,0.1663115789294664,0.2342648598102918,0.0931400703763586,0.330856956613042,0.2259308373422141,0.1862166626743925,0.1264708849304152,0.1197518361115733,0.2165180526267527,0.105154175115241,0.0477893566868936
Batman Begins,0.9084796701920256,0.5161768293562844,0.3703151820626982,0.4834836085207775,0.8501448034833624,0.4516606141174372,0.2272989113592049,0.1191044691664812,0.0869836084668053,0.4776198035842102,0.1400167097041008,0.1322123732401778,0.2086570635590952,0.539085322599622,0.2349918467650849,0.0600684649680914,0.2348228283383657,0.0589514338995884,0.0388648279461588
Thor: Ragnarok,0.8219905304031806,0.7723712959687226,0.8617205140964549,0.1785197725983538,0.1744257810427303,0.2471103034621898,0.3450022367325299,0.13699757861501,0.1106087792594153,0.7203459869101098,0.1080530087445915,0.1413666464265267,0.2920840063916299,0.2453240891656689,0.1879042191059821,0.0988850628853598,0.3486540011847509,0.0979782932802986,0.0385620545861035
Jurassic World,0.7797559922076626,0.8296518291306677,0.8298609039999262,0.2287072757051727,0.2598981584536614,0.6393777437957758,0.2971653899502602,0.142814891719845,0.1252768232625963,0.2267291047660815,0.1625849297463843,0.2130633456385346,0.3089585377074628,0.2585170121470289,0.1504534116307126,0.0923031051214036,0.2833547926194213,0.0565708615836119,0.0572211016782053
Pirates of the Caribbean: The Curse of the Black Pearl,0.8037594721656857,0.2193329608184158,0.8849903211951394,0.1787858169861591,0.1118185241724677,0.3176959237647853,0.3971835796494552,0.2621532080155376,0.1216903275600956,0.8960259233694106,0.2822926354805298,0.2198812277433783,0.3883821088710214,0.2655885893704669,0.219100717539204,0.1596081051097392,0.3525780938605642,0.048776037593273,0.0290575533703488
The Godfather,0.295052009496549,0.0723236832637792,0.1779457798962309,0.7694706830178294,0.9003403345329951,0.5541739537142426,0.2640273075950776,0.3124785865806838,0.068124908916966,0.1029725841249862,0.1153340943009353,0.2408935735248488,0.179451431334684,0.1114910026560007,0.1560368335808175,0.119897429330285,0.153555142709529,0.0444003644897719,0.0337308268148709
Back to the Future,0.1985435906682982,0.7616883747084251,0.7762641943411392,0.2710513516771468,0.243513524470666,0.2703282095427277,0.7337433826721761,0.2730138499406503,0.0810625926490726,0.2162162809729724,0.050619576156698,0.1606869996095069,0.2082078203865149,0.1472238366305076,0.0784931775541133,0.125151152104343,0.4184208809056162,0.0549414395245133,0.0392185114814474
Star Wars: The Force Awakens,0.8669967158723828,0.9000271005373371,0.898203106589204,0.1472730414142515,0.2135452259596844,0.379889789599023,0.1851657934190273,0.1079241300480513,0.118452499399775,0.2711962910689465,0.2104566808386162,0.2200342620046219,0.2786467484098151,0.2443212539220265,0.1651877002739471,0.081658384724845,0.26991888225358,0.106986130507084,0.0414281528874388
